driver_code,meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,clean
VER,1290,11334,3,9,2026-07-19T13:21:32.018000+00:00,31.626,49.729,29.692,313.0,195,False,111.047,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",,True
VER,1290,11334,3,10,2026-07-19T13:23:22.997000+00:00,31.642,49.69,29.758,312.0,196,False,111.09,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049]",286.0,True
VER,1290,11334,3,11,2026-07-19T13:25:14.067000+00:00,31.708,49.648,29.764,310.0,196,False,111.12,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",287.0,True
VER,1290,11334,3,12,2026-07-19T13:27:05.230000+00:00,31.65,49.65,29.793,312.0,199,False,111.093,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",,True
VER,1290,11334,3,13,2026-07-19T13:28:56.283000+00:00,31.63,49.722,29.808,311.0,202,False,111.16,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",286.0,True
VER,1290,11334,3,14,2026-07-19T13:30:47.435000+00:00,31.62,49.641,29.881,,197,False,111.142,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0,True
VER,1290,11334,3,15,2026-07-19T13:32:38.614000+00:00,31.668,49.78,29.793,,198,False,111.241,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",285.0,True
VER,1290,11334,3,16,2026-07-19T13:34:29.899000+00:00,31.692,49.855,29.771,,198,False,111.318,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0,True
VER,1290,11334,3,17,2026-07-19T13:36:21.122000+00:00,31.71,49.777,34.231,,197,False,115.718,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",286.0,True
VER,1290,11334,3,18,2026-07-19T13:38:16.886000+00:00,46.038,61.121,29.937,307.0,202,True,137.096,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2051, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]",284.0,False
VER,1290,11334,3,19,2026-07-19T13:40:33.973000+00:00,31.505,49.062,29.464,312.0,203,False,110.031,"[2048, 2051, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048, 2051, 2049, 2051]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",287.0,True
